PassengerID|SegmentID|LegNumber|InventoryLegID|DepartureDetail|ArrivalDetail|JourneyNumber|BookingStatus|SeatPreference|SeatTogetherPreference|CompartmentDesignator|UnitDesignator|UnitAssignmentWeight|BoardingSequence|LiftStatus|PriorityCode|PriorityDate|CreatedAgentID|CreatedDate|ModifiedAgentID|ModifiedDate|extract_dt|source|proc_status
170139203|299076747|1|2978940|||1|HK|N|1|Y|4B|0|88|2||2019-01-19 13:50:54.453|5421773|2019-01-19 13:50:54.433|3578770|2019-01-19 20:26:31.133|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
170139202|299076746|1|2978940|||1|HK|N|1|Y|4A|0|87|2||2019-01-19 13:50:54.453|5421773|2019-01-19 13:50:54.433|3578770|2019-01-19 20:26:23.430|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169552828|296801710|1|2972276|||1|HK||1|||0|0|3||2019-01-02 14:58:34.157|2299759|2019-01-02 14:58:33.833|5119980|2019-01-06 13:10:55.410|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169491177|297635989|1|2975287|||2|HK|N|0|Y|21A|0|140|2||2019-01-09 15:02:16.747|2299759|2019-01-09 15:02:16.040|3594493|2019-01-13 13:48:18.963|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169491177|297635988|1|2975233|||2|HK|N|0|Y|3D|0|83|2||2019-01-09 15:02:16.747|2299759|2019-01-09 15:02:16.040|3445496|2019-01-12 13:37:06.920|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169475026|297651390|1|2973663|||2|HK|R|0|Y|15F|0|117|2||2019-01-09 16:13:41.490|3806727|2019-01-09 16:13:40.823|3561231|2019-01-09 17:10:53.090|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169465039|296834743|1|2970618|||2|HK|N|0|Y|6D|0|136|2||2019-01-02 19:34:32.963|3976814|2019-01-02 19:34:32.303|4601080|2019-01-03 05:48:50.497|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169465038|296834742|1|2970618|||2|HK|N|1|Y|6C|0|135|2||2019-01-02 19:34:32.963|3976814|2019-01-02 19:34:32.303|4601080|2019-01-03 05:49:00.247|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169424229|297341886|1|2975909|||2|HK|N|0|Y|12B|0|125|2||2019-01-07 18:38:18.137|5402492|2019-01-07 18:38:17.250|3802016|2019-01-13 12:27:01.957|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169424228|297341885|1|2975909|||2|HK|N|0|Y|12A|0|124|2||2019-01-07 18:38:18.137|5402492|2019-01-07 18:38:17.250|3802016|2019-01-13 12:27:05.847|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
