BookingID|BookingParentID|Status|RecordLocator|BookingPromoCode|CurrencyCode|HoldDateTime|ExpiredDate|PriceStatus|PaidStatus|SystemCode|ChannelType|CreatedAgentCode|CreatedOrganizationCode|CreatedDomainCode|CreatedLocationCode|SourceAgentCode|SourceOrganizationCode|SourceDomainCode|SourceLocationCode|ReferralCode|GroupName|ReceivedBy|ReceivedByReference|ProfileStatus|CreatedSystemType|BookingDate|BookingType|OwningCarrierCode|CreatedAgentID|CreatedDate|ModifiedAgentID|ModifiedDate|extract_dt|source|proc_status|TimeToModify|business_key|hash
104134526|0|4|MY48QS||EUR|2019-01-01 00:07:27.990|2019-01-28 10:50:00|3|0||4|PortalWeb|VY|EXT|MOBT|PortalWeb|VY|EXT|MOBT|||#M#APMO#WEB#VY||0|7|2019-01-01 00:05:26||VY|2299759|2019-01-01 00:05:26|2299759|2019-01-01 00:05:29|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104134526_0_4_MY48QS|a3fc7a54947276b1cd5512ff1e519376
104134643|0|2|XI4Z5X||EUR|9999-12-31 00:00:00.000|2019-01-03 06:50:00|3|2|IB|3|GDSMaster|SYSTEM|SYS|GDS|NKC262899|SYSTEM|IATAB|NKC|||IATA1A||0|9|2019-01-01 00:32:46|C|VY|19|2019-01-01 00:32:46|19|2019-01-01 00:32:59|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:13|104134643_0_2_XI4Z5X|81fe46dada9aacba56da352c44551850
104134852|0|2|TFBDWT||USD|9999-12-31 00:00:00.000|2019-01-08 13:40:00|3|2||4|I3-travelfusion7|78205374|EXT|OTAT|I3-travelfusion7|78205374|EXT|OTAT|||#I#AXBA#OTAT#VY||0|7|2019-01-01 01:27:51||VY|2349473|2019-01-01 01:27:51|5574463|2019-01-07 11:57:48|2024-11-14 11:18:50|Booking|transformed|6 days 10:29:57|104134852_0_2_TFBDWT|ec7821184d8a0a67b8a9dbfd08b9fd5d
104135226|0|4|XBHMYC||EUR|2019-01-01 03:51:33.627|2019-06-05 09:35:00|3|0||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 03:49:31||VY|2299761|2019-01-01 03:49:31|2299761|2019-01-01 03:49:34|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104135226_0_4_XBHMYC|01681e58405532c8a1126ce82ab3de82
104135227|0|2|VECH4T||EUR|9999-12-31 00:00:00.000|2019-01-15 11:25:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 03:49:53||VY|2299761|2019-01-01 03:49:53|2299761|2019-01-01 03:49:57|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:04|104135227_0_2_VECH4T|5de95728543198fa3f5fabe3572013ea
104135480|0|2|V6T7VB||EUR|9999-12-31 00:00:00.000|2019-04-07 05:10:00|3|2||2|WebAnonymous|SYSTEM|SYS|WWW|WebAnonymous|SYSTEM|SYS|WWW|||#W#WWWA#WWW#VY||0|6|2019-01-01 06:03:08||VY|21|2019-01-01 06:03:08|3594390|2019-04-06 03:17:57|2024-11-14 11:18:50|Booking|transformed|94 days 21:14:49|104135480_0_2_V6T7VB|275647c44226e6b80a4c681dc4e85657
104135556|0|2|W63H9B||EUR|9999-12-31 00:00:00.000|2019-02-06 22:10:00|3|2||4|AppAndroid|VY|EXT|MOBT|AppAndroid|VY|EXT|MOBT|||#M#APMO#AND#VY||0|7|2019-01-01 06:33:56||VY|2299765|2019-01-01 06:33:56|2299765|2019-01-01 06:34:00|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:04|104135556_0_2_W63H9B|aec4b29a1aed4f4f9316675eebb971fc
104135820|0|2|VFFE8Q||EUR|9999-12-31 00:00:00.000|2019-01-02 14:40:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 08:05:22||VY|2299761|2019-01-01 08:05:22|2299761|2019-01-01 08:05:25|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104135820_0_2_VFFE8Q|ff0542b9aee9b0650fe736d5f7bb658a
104136144|0|2|AI2QTH||EUR|9999-12-31 00:00:00.000|2019-01-30 05:45:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 09:04:35||VY|2299761|2019-01-01 09:04:35|2299761|2019-01-01 09:04:38|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104136144_0_2_AI2QTH|9c83789bc6a2ae5ed836dbce8c190c6a
104136166|0|2|BD514T||EUR|9999-12-31 00:00:00.000|2019-01-03 12:45:00|3|2|1A|3|GDSMaster|SYSTEM|SYS|GDS|VIEL1218L|06210702|IATAB|VIE|||IATA1A||0|9|2019-01-01 09:08:04|S|VY|19|2019-01-01 09:08:04|19|2019-01-02 05:22:29|2024-11-14 11:18:50|Booking|transformed|0 days 20:14:25|104136166_0_2_BD514T|e1317e13fae198db840cc61c1d56632d
104136268|0|2|UCV2VM||EUR|9999-12-31 00:00:00.000|2019-04-07 04:45:00|3|2||2|WebAnonymous|SYSTEM|SYS|WWW|WebAnonymous|SYSTEM|SYS|WWW|||#W#WWWA#WWW#VY||0|6|2019-01-01 09:21:16||VY|21|2019-01-01 09:21:16|3610952|2019-04-06 03:27:26|2024-11-14 11:18:50|Booking|transformed|94 days 18:06:10|104136268_0_2_UCV2VM|3b1d846133fe67e38e042bc1934aabd4
104136286|0|2|ZC3F2M||EUR|9999-12-31 00:00:00.000|2019-01-04 16:40:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 09:24:04||VY|2299761|2019-01-01 09:24:04|2299761|2019-01-01 09:24:07|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104136286_0_2_ZC3F2M|388f4336577a6c396c7a5a1d98927eda
104136403|0|2|UIMC5U||EUR|9999-12-31 00:00:00.000|2019-02-06 22:10:00|3|2||4|AppAndroid|VY|EXT|MOBT|AppAndroid|VY|EXT|MOBT|||#M#APMO#AND#VY||0|7|2019-01-01 09:37:27||VY|2299765|2019-01-01 09:37:27|2299765|2019-01-01 09:37:31|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:04|104136403_0_2_UIMC5U|a7d149610c1a5971851ab787f6fb0fa1
104136541|0|2|TKC78B||EUR|9999-12-31 00:00:00.000|2019-02-24 17:25:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 09:52:40||VY|2299761|2019-01-01 09:52:40|2299761|2019-01-01 09:52:43|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:03|104136541_0_2_TKC78B|d62430323d97f99076ecdaa9a8ce43d7
104136552|0|2|IY5YHC||EUR|9999-12-31 00:00:00.000|2019-02-24 17:25:00|3|2||4|AppIOS|VY|EXT|MOBT|AppIOS|VY|EXT|MOBT|||#M#APMO#IOS#VY||0|7|2019-01-01 09:53:05||VY|2299761|2019-01-01 09:53:05|2299761|2019-01-01 09:53:09|2024-11-14 11:18:50|Booking|transformed|0 days 00:00:04|104136552_0_2_IY5YHC|992066551f06dd05dea6ac91fa34377d
