"BookingID","BookingParentID","Status","RecordLocator","BookingPromoCode","CurrencyCode","HoldDateTime","ExpiredDate","PriceStatus","PaidStatus","SystemCode","ChannelType","CreatedAgentCode","CreatedOrganizationCode","CreatedDomainCode","CreatedLocationCode","SourceAgentCode","SourceOrganizationCode","SourceDomainCode","SourceLocationCode","ReferralCode","GroupName","ReceivedBy","ReceivedByReference","ProfileStatus","PaxResidentCountry","CreatedSystemType","BookingDate","BookingType","OwningCarrierCode","CreatedAgentID","CreatedDate","ModifiedAgentID","ModifiedDate"
105596708,0,3,VDFSWZ,"",EUR,9999-12-31 00:00:00.000,2019-05-21 08:30:00.000,3,2,IB,3,GDSMaster,SYSTEM,SYS,GDS,HP99,"55502624",IATAB,EZE,"","",IATAIB,"",0,AR,9,2019-02-01 00:06:52.190,C,VY,19,2019-02-01 00:06:52.190,4544544,2019-05-23 16:55:08.183
105596853,0,2,P9PMNF,"",EUR,9999-12-31 00:00:00.000,2019-04-18 15:55:00.000,3,0,IB,3,GDSMaster,SYSTEM,SYS,GDS,GDSMaster,SYSTEM,SYS,GDS,"","",IATAIB,"",0,ES,9,2019-02-01 00:16:52.043,C,VY,19,2019-02-01 00:16:52.043,4578407,2019-04-05 10:34:00.760
105596888,0,1,CG9R8K,"",EUR,9999-12-31 00:00:00.000,2019-02-18 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 00:19:06.267,"",VY,2299761,2019-02-01 00:19:06.267,2299761,2019-02-01 00:19:07.657
105596889,0,1,KG8GXA,"",EUR,9999-12-31 00:00:00.000,2019-02-18 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 00:19:17.733,"",VY,2299761,2019-02-01 00:19:17.733,2299761,2019-02-01 00:19:19.250
105596914,0,1,RG6D5N,"",EUR,9999-12-31 00:00:00.000,2019-02-18 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 00:20:35.510,"",VY,2299761,2019-02-01 00:20:35.510,2299761,2019-02-01 00:20:36.820
105596934,0,2,CCGL5G,"",EUR,9999-12-31 00:00:00.000,2019-02-18 13:30:00.000,3,2,"",4,AppAndroid,VY,EXT,MOBT,AppAndroid,VY,EXT,MOBT,"","",#M#APMO#AND#VY,"",0,ES,7,2019-02-01 00:22:36.730,"",VY,2299765,2019-02-01 00:22:36.730,2299765,2019-02-01 00:22:39.777
105596944,0,2,PG697N,"",EUR,9999-12-31 00:00:00.000,2019-02-18 13:30:00.000,3,2,"",4,AppAndroid,VY,EXT,MOBT,AppAndroid,VY,EXT,MOBT,"","",#M#APMO#AND#VY,"",0,ES,7,2019-02-01 00:23:51.260,"",VY,2299765,2019-02-01 00:23:51.260,2299765,2019-02-01 00:23:56.480
105597467,0,1,D87B3F,"",EUR,9999-12-31 00:00:00.000,2019-02-18 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 01:12:27.913,"",VY,2299761,2019-02-01 01:12:27.913,2299761,2019-02-01 01:12:29.367
105597575,0,1,Z77LYB,"",EUR,9999-12-31 00:00:00.000,2019-02-15 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 01:23:17.030,"",VY,2299761,2019-02-01 01:23:17.030,2299761,2019-02-01 01:23:18.340
105597678,0,2,CGTGQK,"",USD,9999-12-31 00:00:00.000,2019-03-28 09:35:00.000,3,2,"",4,PortalWeb,VY,EXT,MOBT,PortalWeb,VY,EXT,MOBT,"","",#M#APMO#WEB#VY,"",0,CZ,7,2019-02-01 01:31:43.047,"",VY,2299759,2019-02-01 01:31:43.047,2299759,2019-02-01 01:31:47.330
